Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
779,14.0844141187959,13131.8575096277,13152.5237483954,7,42,120,224
1544,19.8286754831032,12464.7007772021,13101.8555699482,3,23,72,223
404,10.1428672087631,13212.7945544554,13357.3712871287,4,22,91,223
790,14.1835061979807,12563.3962025316,12948.264556962,4,20,56,222
1027,16.1716852086789,12639.9279454722,13475.311587147,7,28,109,221
658,12.9444321654968,12953.537993921,12859.6899696049,5,21,84,221
1163,17.2091695937195,12695.1074806535,13557.5657781599,6,25,93,220
873,14.9099840546782,13065.56930126,13011.2806414662,7,48,109,220
546,11.791427321791,12679.8113553114,13530.2637362637,8,27,94,219
779,14.0844141187959,13221.4505776637,13303.7933247754,3,28,102,219
534,11.6611313077984,12500.3820224719,12985.8389513109,4,20,53,218
897,15.1135427456797,12570.6109253066,13433.2062430323,7,28,111,218
711,13.4556554378202,12997.5555555556,12872.1744022504,7,27,88,218
797,14.2462059310816,12427.6511919699,13208.2007528231,5,21,79,217
1185,17.3711764743276,13166.2784810127,13126.7189873418,9,44,120,217
882,14.9866425756833,13177.5158730159,13169.753968254,7,39,118,217
1164,17.216566615163,12422.3359106529,13169.4029209622,7,21,78,216
995,15.9177469951717,12650.7447236181,13530.2733668342,7,25,104,216
1651,20.5042360909045,12873.3809812235,13704.5160508783,4,15,60,216
5160,36.2489063306286,12500.9457364341,13351.6941860465,4,31,98,215
1293,18.1455158722069,12608.4253673627,12891.5050270688,4,19,53,214
1071,16.5144757858756,13079.5658263305,12929.1437908497,7,43,97,214
537,11.6938414177958,13088.3854748603,12975.6387337058,7,47,102,214
990,15.8777022852037,13155.8272727273,13091.1393939394,9,46,119,214
387,9.92717184108856,12411.9819121447,13242.811369509,8,25,82,213
1079,16.5760397488015,12530.9258572753,13416.155699722,6,30,107,213
642,12.7860845274851,13055.3130841121,12888.4252336449,5,32,90,213
707,13.4177521077695,12814.7001414427,13699.1584158416,3,20,65,212
702,13.370221841122,12417.1595441595,13265.0982905983,6,26,87,211
717,13.5123110797162,12501.6345885635,12938.0739191074,3,16,49,211
777,14.0663223783562,13002.3912483912,12818.5238095238,4,20,80,211
727,13.6062129119198,13135.8720770289,13015.9023383769,9,46,110,211
975,15.7569575497098,13168.3425641026,13042.9887179487,9,46,113,211
1393,18.834132238126,12598.5764536971,13507.4350323044,6,26,112,210
1223,17.6475038643492,12658.5584627964,13610.4946852003,7,22,93,210
2337,24.394920848595,13049.0688917415,12833.2289259735,6,24,84,210
894,15.0882480957415,13097.1621923937,12888.2281879195,6,36,91,210
500,11.2837916709551,12720.51,13651.124,4,22,78,209
685,13.2073395363607,13225.2379562044,13130.0116788321,6,42,123,209
1959,22.3350677999248,12525.3930576825,13470.6870852476,4,27,109,208
568,12.0266376133113,13138.6338028169,12977.4225352113,10,46,106,208
630,12.6660247369343,13169.5428571429,12982.7333333333,9,47,108,208
702,13.370221841122,13211.292022792,13066.2678062678,8,42,116,208
6489,40.6498497064539,13284.0903066728,13446.9414393589,2,11,60,208
969,15.7083997838632,12356.8503611971,13147.9525283798,3,19,72,207
14170,60.0696335079502,12415.766407904,12973.8410021171,2,12,48,207
775,14.0482073388013,12935.2761290323,13762.3470967742,3,9,45,206
792,14.2014486544877,13151.1502525253,12929.8371212121,10,41,102,206
779,14.0844141187959,13203.1707317073,13005.7329910141,10,45,112,206
760,13.9115926766041,13254.1065789474,13144.9526315789,4,40,124,206
725,13.5874844613195,12661.0193103448,13639.3627586207,4,25,89,205
743,13.7551225493503,13237.3055181696,13040.7415881561,6,44,117,205
8461,46.4174100699387,12394.553126108,13325.3061103888,3,34,88,204
471,10.9516740781514,12826.6135881104,13737.3014861996,4,18,62,204
2325,24.3322088660658,13296.0520430108,13236.5772043011,3,27,120,204
632,12.6861136071897,12634.0126582278,12814.6202531646,3,11,48,203
556,11.8989174875091,12339.0809352518,13194.6115107914,6,20,71,202
332,9.1947325012974,13135.0060240964,12849.0240963855,8,31,88,201
840,14.6254655828629,13240.7666666667,12974.3238095238,9,47,108,201
576,12.1110361056968,13310.6736111111,13166.4496527778,4,35,126,201
1116,16.8578488065615,13210.45609319,12947.5403225806,9,40,104,200
938,15.4550877898612,13270.1865671642,13018.9722814499,8,47,117,200
791,14.1924802616422,17150.8103666245,8666.97724399494,6,49,125,200
626,12.6257511064032,17171.6980830671,8589.37539936102,9,48,117,200
625,12.6156626101008,17200.7168,8650.5616,7,46,123,200
665,13.0131033750515,17202.3338345865,8696.31278195489,8,42,128,200
614,12.5041519541902,17215.1074918567,8520.2328990228,9,39,117,200
635,12.716187407449,17227.9023622047,8544.85984251969,8,41,118,200
693,13.2842388152387,17239.7431457431,8680.82106782107,7,45,127,200
775,14.0482073388013,17254.4567741935,8592.86193548387,8,40,120,200
1174,17.2903627811511,17258.6175468484,8644.57836456559,7,44,121,200
1242,17.7840575491707,17264.077294686,8757.83816425121,8,40,130,200
391,9.97834316899803,17272,8495,7,34,117,200
619,12.5549613953295,17277.6978998384,8460.95153473344,5,30,115,200
659,12.9542646258325,17282.5068285281,8708.84218512898,8,40,125,200
619,12.5549613953295,17306.2827140549,8639.94830371567,9,40,119,200
618,12.5448159703228,17313.2006472492,8761.84142394822,5,35,123,200
484,11.1017830968887,17316.6219008264,8570.85950413223,7,35,116,200
540,11.7264602856701,17326.8055555556,8717.19074074074,6,40,122,200
507,11.3625036781576,17330.0493096647,8509.40039447732,7,28,115,200
720,13.5405500051462,17335.1055555556,8822.64027777778,5,36,117,200
453,10.7403679058497,17347.114790287,8537.14790286976,7,31,118,200
921,15.3143959769955,17357.1715526602,8612.81107491857,7,37,115,200
855,14.7554722780978,17364.967251462,8653.20233918129,6,38,112,200
650,12.8655019651614,17382.4030769231,8553.08769230769,8,29,107,200
1067,16.4836075798499,17389.7947516401,8824.85473289597,4,32,105,200
726,13.5968519112163,17412.696969697,8523.80716253443,6,25,107,200
919,15.2977589313704,17421.690968444,8761.68661588683,3,30,101,200
731,13.6435926881552,17424.2106703146,8613.72229822161,6,31,101,200
720,13.5405500051462,17432.7972222222,8670.63472222222,5,30,99,200
726,13.5968519112163,17458.0909090909,8490.15564738292,4,19,103,200
656,12.9247448048019,17461.2545731707,8568.35670731707,6,26,95,200
529,11.6064096012927,17457.4007561437,8709.53119092628,5,29,92,200
870,14.8843434784312,17517.4666666667,8527.56781609195,4,19,87,200
761,13.9207420315403,17518.9159001314,8683.99080157687,5,26,86,200
690,13.255453865238,17523.5086956522,8806.46231884058,3,22,89,200
765,13.9572794750438,17531.7058823529,8730.26274509804,5,24,85,200
599,12.3504695238389,17531.1151919866,8850.83639398998,3,23,87,200
604,12.4019086032759,17564.9321192053,8677.39238410596,3,24,78,200
745,13.7736230587866,17638.0174496644,8733.32348993289,3,19,71,200
700,13.3511623562491,17652.5857142857,8774.79714285714,3,18,71,200
546,11.791427321791,12337.7619047619,13233.5073260073,5,24,75,199
772,14.0209908960497,12588.6917098446,12817.1670984456,3,11,46,199
751,13.8289760871592,12686.603195739,13683.5645805593,5,25,77,199
693,13.2842388152387,13361.7806637807,13271.8412698413,3,23,105,199
1091,16.6679593430393,17095.316223648,8674.61044912924,5,48,124,199
836,14.5906014913615,17161.2727272727,8560.18779904306,7,45,112,199
659,12.9542646258325,17179.0789074355,8763.70864946889,7,40,129,199
646,12.8258547153702,17075.0681114551,8632.49845201238,9,47,114,198
618,12.5448159703228,17210.2799352751,8466.36245954693,7,34,112,198
535,11.672044863119,13351.9028037383,13142.2654205607,6,37,120,197
800,14.2729929292222,17060.56375,8701.41625,4,47,122,197
559,11.9309756977957,17117.6690518784,8771.84257602862,4,43,128,197
1003,15.981609827357,17146.8225324028,8525.65004985045,9,44,113,197
568,12.0266376133113,17158.2059859155,8786.92957746479,7,42,128,197
494,11.2158845848125,17229.5,8815.5,8,37,130,197
