Volume,Radius,X,Y
4746,0,40349,44577
982,0,40349,44769
1086,0,40349,44937
293,0,40349,46779
643,0,40349,46899
835,0,40349,47595
7267,0,40349,47675
826,0,40349,47787
869,0,40349,47811
720,0,40349,47859
709,0,40349,47915
892,0,40349,47979
735,0,40349,48051
812,0,40738.0786904167,41684.5591736237
761,0,44583.3060633333,37362.5610875071
6710,0,44541,37559
2100,0,45974.782903429,18284.6357117618
561,0,46109.4994711047,54287.9588343147
1367,0,46969.4023388744,18018.941712527
919,0,48772.8996479289,48276.1864322677
685,0,49035.3277062191,10614.8870348686
412,0,255.482434759124,28543.4016474798
717,0,2030.49057261945,29359.4421924474
626,0,2128.48797054943,39272.1857927058
437,0,2469.76488859966,39014.7131902561
443,0,2427.14756470916,39310.1677786171
3172,0,4221.57956467622,44682.1362541091
496,0,4979.31388206388,23996.8522113022
807,0,5624.588226681,36079.4366697934
1894,0,5449.36746524024,17045.4983364631
452,0,5898.21772782807,16205.176889543
293,0,5981.82289876089,18770.7666620502
576,0,5898.88446979608,16768.6699286549
388,0,6174.94456906922,27320.958890081
847,0,6155.80480596516,16356.494872384
1140,0,6388.10018384266,27767.3415519095
479,0,6477.51350119904,27386.4373860911
750,0,7002.38576619875,24563.8479324796
551,0,7195.24282874557,46303.4739939181
399,0,7246.48803730101,46664.3626644479
531,0,7311.84400334522,46942.3234285129
634,0,7405.51065153909,16231.4710750019
548,0,9394.88955622289,13347.9111873779
860,0,9412.43987015375,17746.8056304019
942,0,9955.98486361276,13611.8912496505
501,0,10608.0547347869,24765.617051741
695,0,12916.4984844412,11036.6351350099
555,0,15710.1658847356,38019.7822164104
1167,0,16765.5469570468,36305.2438300777
1685,0,17256.4111261872,12019.0381375611
452,0,17088.8193088895,12271.9735977555
690,0,17343.5649701921,11797.9070618974
1009,0,19728.4562436404,45279.844889892
467,0,20386.8215217404,11111.5547234004
472,0,21184.9608548686,22279.3951150365
3423,0,21418.5035097239,12780.8544996236
5855,0,21962.6686118686,13025.6415346582
1623,0,22048.7867818855,21335.0196415995
