Volume,Radius,X,Y,friends_100,friends_250,friends_500,friends_1000
5150,36.2137643870009,14309.2759223301,2006.94970873786,1,2,5,11
5027,35.778695312668,14362.7982892381,2223.73781579471,1,3,5,8
3271,28.860930514551,14522.1712014674,2281.37878324671,1,3,5,6
3432,29.5626728072111,14609.2957459207,2163.24737762238,1,2,5,6
13374,58.3580425841855,15234.0352175864,557.194407058472,1,2,4,10
2252,23.9471729218444,15273.426731794,659.718028419183,1,2,4,13
3256,28.7946799171572,15384.2355651106,1427.94011056511,2,4,9,27
7461,43.5881640890484,15425.2184693741,1265.37541884466,1,3,9,30
2304,24.2220722113935,15437.6740451389,1487.66536458333,2,3,9,28
5353,36.9205939360876,15484.7993648421,1185.69064076219,1,3,9,31
3113,28.1552648815832,15487.6880822358,1569.99293286219,1,4,10,28
2445,24.9522371216589,15489.8928425358,532.3918200409,1,2,6,12
4460,33.7005886284463,15627.3417040359,697.758968609866,1,3,8,18
2839,26.8876442534601,15683.8133145474,1719.31983092638,1,3,14,29
2500,25.2313252202016,15681.082,1115.4224,1,3,9,36
3829,31.2257400770292,15690.4554714025,1567.90310786106,1,5,16,32
2290,24.1483687127869,15715.3126637555,1309.6423580786,1,4,15,36
2825,26.8212666139272,15758.2913274336,611.905132743363,2,3,5,15
2389,24.6648303151362,15813.6140644621,550.025115110925,2,2,5,14
2594,25.7012971619839,15823.0728604472,1710.60717039322,1,4,20,31
9131,48.2202245597773,15853.9181907787,1329.15190012047,1,3,18,34
9844,50.0674946015335,15867.2496952458,905.755383990248,1,1,9,31
2018,22.6689099926554,15849.4737363726,1474.99603567889,1,5,19,33
2213,23.7389094631532,16023.5671034794,1859.62901039313,1,6,17,28
1915,22.0828156183392,16021.0825065274,1683.88093994778,2,12,20,31
1792,21.3618597699985,16025.0228794643,1485.81361607143,2,9,21,31
2275,24.0691502312504,16068.0298901099,1520.54153846154,3,8,22,31
2680,26.1238664056079,16071.622761194,1639.82723880597,3,10,21,31
3327,29.1069337627098,16115.7126540427,1857.89690411782,2,6,15,27
2330,24.3583584801313,16121.3824034335,1744.40343347639,2,10,18,30
10,1.59576912160573,16125.6,1584.3,5,9,20,31
3143,28.2906058227908,16152.3617562838,1482.39739102768,1,8,18,31
1960,22.3407677024802,16163.1510204082,1807.06632653061,3,8,17,28
23,2.42010369731996,16151.6086956522,1603.65217391304,3,11,19,31
24,2.47215489294841,16155.7083333333,1586.625,3,10,19,31
2949,27.4035888796486,16186.3767378772,1922.51441166497,1,5,13,24
3076,27.9874430400684,16211.8202210663,979.335500650195,2,2,3,28
3147,28.3086023932004,16276.0448045758,1020.57737527804,2,2,3,27
3871,31.3965293549138,16337.2332730561,1660.04546628778,1,5,16,26
2373,24.5820968985827,16346.2503160556,1454.96670880742,1,4,13,27
2724,26.3374430036729,16442.2812041116,1539.71989720999,1,3,12,26
2632,25.8888643309935,21576.8119300912,7847.36740121581,1,1,2,8
1902,22.0077332503203,21840.3154574132,7569.53785488959,1,2,5,10
6944,42.0508630081262,22002.3595910138,7563.08755760369,1,3,5,10
2445,24.9522371216589,22008.2834355828,8259.20490797546,1,1,2,10
2120,23.2347491264207,22072.8235849057,7401.72547169811,1,2,4,10
3004,27.6579521743184,22189.4803595206,7848.09454061252,1,1,5,10
3425,29.5325090052232,22271.3576642336,7518.57109489051,1,1,7,10
4465,33.7194738014771,22289.4763717805,8109.03292273236,1,1,4,10
2677,26.1092407444415,22463.4157639148,7826.18901755697,1,1,5,9
2033,22.7530041728409,22570.017215937,7620.13231677324,1,1,3,9
5570,37.6615035923285,23309.8628366248,6416.23375224416,1,2,2,4
2792,26.664151248073,23391.6755014327,5666.05945558739,1,1,2,8
4640,34.3739188559325,23462.3605603448,6450.73038793103,1,2,2,4
